V1,V2,V3,V4,V5,V6
-0.011409567,-0.010042785,-0.009494009,-0.001150343,-0.009559342,-0.002952045
0.001238011,-0.002376946,-0.003072799,0,3.87E-06,-0.000885615
-0.013148171,-0.005358808,-0.004070133,0,-0.0075512,-6.80E-05
0.006250691,0.00568802,0.005536994,0,0.006863862,0.000255364
0.002403277,0.001444748,0.002555557,-6.05E-05,-0.001424641,0.000139225
0.014553522,0.01452092,0.015555121,0,0.010237736,0.002388603
-0.011518412,-0.010021083,-0.010654753,-6.41E-05,-0.005003319,0.000883481
0.010548948,0.009768698,0.0080606,0,0.006855945,0.000751099
0.016001642,0.014909109,0.017268315,0,0.016022078,0.000917068
0.002169358,0.002953462,0.003112433,-0.000634112,0.002354039,-0.000933969
-0.00422709,-0.004381926,-0.005230216,-9.71E-05,-0.004227498,-0.000467377
0.007681623,0.006309778,0.008191384,0,0.004247289,0.001258727
0.005389964,0.001097451,0.002791764,0,0.00154962,6.62E-05
0.001128372,-0.000517935,-0.001522928,0,0.001670621,-4.03E-05
-0.00852085,-0.007893084,-0.010067177,-0.004174814,-0.007759829,-0.00047825
0.010106431,0.005400792,0.01002614,0,0.009230316,0.00034527
-0.009494583,-0.010478417,-0.006559018,0,-0.001977371,-0.000345507
0.00357434,0.004439899,0.001252082,0,0.002278748,1.11E-05
0.000194011,-0.000699602,0.000137631,-0.111465684,-0.001944942,-0.102933139
-0.000527504,0.000628935,0.000520339,0,-0.002409329,7.05E-05
-0.000659754,0.000245592,0.001010218,-0.001193124,-0.001813654,-0.000361997
0.005103154,0.002440971,0.001006188,0,0.00838317,0.000204332
0.007035922,0.003277681,0.002995212,-0.000674988,0.002604179,-0.001101147
-0.016652161,-0.02025534,-0.021253924,0,-0.016533968,-0.002381654
0.000616692,0.000790694,3.13E-05,0.00482429,0.002125421,0.004862071
0.027186314,0.023851926,0.021804404,0,0.020849377,9.31E-05
0.003422416,0.003133708,0.004462167,0,0.00445365,-0.000641547
0.000176905,0.001616112,-0.000903242,0,-0.005544289,-0.00040903
0.004259179,0.0028602,0.001986598,0.000989812,0.004044253,0.000900928
-0.006306589,-0.004955432,-0.006013345,0,-0.005298235,-3.80E-05
-0.001517306,-0.001823131,-0.003221742,0.100934579,-0.001866917,0.090633858
0.003176699,0.008911198,0.003123756,0.000336011,0.001848865,0.000597382
0.008458714,0.010566249,0.010305392,0.000418224,0.005088017,0.000916853
0.013449087,0.016262038,0.012991609,0.00310421,0.011843982,0.003095231
0.00527585,0.001887298,0.001852219,0.002050839,0.003231669,0.00210121
-0.003770282,-0.004084637,-0.004485123,-0.003098122,-0.0063468,-0.004640862
-0.003896888,-0.003112404,-0.006003643,-0.001659547,-0.004101962,-0.001686427
-0.004008881,-0.004461202,-0.004717373,0.000847258,-0.00327244,-6.66E-05
0.01310461,0.011784772,0.012758148,0.00015579,0.008710056,0.000422249
0.005525753,0.000356731,0.003151538,2.59E-06,0.000142141,9.85E-05
0.014033535,0.009003119,0.013297969,-3.13E-05,0.006772289,-0.0002972
